CustomerID,sales_avg_M_2,sales_avg_M_3,sales_avg_M_4,sales_avg_M_5,sales_count_M_2,sales_count_M_3,sales_count_M_4,sales_count_M_5,sales_sum_M_2,sales_sum_M_3,sales_sum_M_4,sales_sum_M_5,CLV_3M
12346.0,0.0,0.0,77183.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,77183.6,0.0,0.0
12347.0,584.9100000000001,509.385,475.39,711.79,1.0,2.0,1.0,1.0,584.9100000000001,1018.77,475.39,711.79,1294.32
12348.0,310.0,367.0,227.44,892.8,1.0,1.0,1.0,1.0,310.0,367.0,227.44,892.8,0.0
12350.0,0.0,0.0,334.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,334.4,0.0,0.0
12352.0,316.25,0.0,312.36199999999997,0.0,2.0,0.0,5.0,0.0,632.5,0.0,1561.81,0.0,311.73
12353.0,0.0,89.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0
12354.0,0.0,1079.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1079.4,0.0,0.0,0.0
12355.0,0.0,459.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,459.4,0.0,0.0,0.0
12356.0,0.0,481.46000000000004,2271.62,0.0,0.0,1.0,1.0,0.0,0.0,481.46000000000004,2271.62,0.0,58.349999999999994
12358.0,484.86,0.0,0.0,0.0,1.0,0.0,0.0,0.0,484.86,0.0,0.0,0.0,0.0
12359.0,0.0,1109.32,1193.205,0.0,0.0,1.0,2.0,0.0,0.0,1109.32,2386.41,0.0,2876.85
12360.0,534.7,1083.58,0.0,0.0,1.0,1.0,0.0,0.0,534.7,1083.58,0.0,0.0,1043.78
12361.0,0.0,0.0,189.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,189.9,0.0,0.0
12362.0,534.3333333333334,495.24,479.1,0.0,3.0,1.0,1.0,0.0,1603.0,495.24,479.1,0.0,2119.85
12363.0,252.9,299.1,0.0,0.0,1.0,1.0,0.0,0.0,252.9,299.1,0.0,0.0,0.0
12364.0,351.85999999999996,0.0,0.0,0.0,2.0,0.0,0.0,0.0,703.7199999999999,0.0,0.0,0.0,299.06
12365.0,0.0,0.0,320.69,0.0,0.0,0.0,2.0,0.0,0.0,0.0,641.38,0.0,0.0
12370.0,0.0,0.0,938.39,934.01,0.0,0.0,1.0,2.0,0.0,0.0,938.39,1868.02,739.28
12372.0,383.12,515.7,399.22,0.0,1.0,1.0,1.0,0.0,383.12,515.7,399.22,0.0,0.0
12373.0,0.0,0.0,364.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,364.6,0.0,0.0
